State Name,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll %,Rejected Votes (Postal),Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes
Jammu and Kashmir,Total,5,4440637,4295357,164,8818871,0,74680,2652792,2401774,52,50546,5116134,0,59.0,8050,3578,34766,5043839,13
Andaman & Nicobar Islands,Total,1,162320,153268,4,310815,0,586,104117,94735,2,598,204646,0,65.0,82,0,1820,203240,0
Jharkhand,SC,1,1182569,1097926,1,2265731,0,5098,680076,709406,1,18610,1381894,0,63.0,1307,0,24071,1390615,0
West Bengal,ST,2,1794269,1742410,82,3541945,1,7780,1459426,1437075,27,16113,2875684,0,82.0,1987,1784,36967,2850035,34
Bihar,SC,6,5922666,5392025,279,11658633,28,21942,3170230,3136195,24,28674,6458371,0,56.0,4817,470,170580,6074583,0
Chhattisgarh,ST,4,3378091,3486450,152,6699387,3,10287,2516991,2669386,73,16318,5156342,0,75.0,2760,2228,97450,5135495,48
Bihar,GEN,34,34193307,30642277,1955,66473472,60,144534,18567250,18730978,118,131902,36848207,0,57.0,18281,8451,728735,36246593,1
Jharkhand,ST,5,3784259,3792420,58,7471756,7,14374,2538539,2725104,18,56478,5332469,0,71.0,3767,9781,80403,5134253,3
Jharkhand,Total,14,13187995,12480831,426,25701605,130,44164,8408403,8780602,160,178462,17295360,0,67.0,11707,25806,198136,17100268,10
Maharashtra,ST,4,3899291,3655368,280,7494465,228,7487,2680748,2438131,67,16688,5180745,0,69.0,1920,2671,61246,5181984,184
Assam,SC,1,685888,692713,24,1400858,0,4885,536067,537667,6,8417,1101493,0,81.0,1511,0,12862,1061412,0
Meghalaya,ST,2,1107952,1111190,3,2202743,5,3874,821942,902100,3,9487,1748386,0,77.0,1237,1797,16895,1676557,18
Puducherry,Total,1,484265,540640,152,1022853,370,321,374720,423396,105,3707,814092,20,78.0,254,3220,9583,804657,5
Himachal Pradesh,SC,1,693434,644259,12,1330019,11,8339,509077,458179,8,11997,983772,0,72.0,862,492,5874,963481,8
Kerala,GEN,18,12390954,13191728,344,24669522,88867,47424,8535755,9216469,141,224683,18309670,2634,71.0,29608,19084,134279,17906534,565
Rajasthan,GEN,18,20453194,18782896,455,38620505,205,117540,12776345,11457108,237,276054,23922652,0,62.0,33121,2954,192014,23838939,541
Punjab,Total,13,11407227,10051550,778,21870090,1616,107441,7103449,6280719,284,65566,13609477,13,62.0,9366,2458,66474,13298350,40
Kerala,Total,20,13687478,14290216,371,27834325,89749,57257,9574938,10233123,149,253251,20375592,2673,73.0,34246,18592,156131,19692840,589
Sikkim,Total,1,231074,233648,3,461088,0,2509,188906,182478,2,18909,392906,0,83.0,2567,989,2498,383382,16
NCT OF Delhi,GEN,6,6938543,5824115,961,12819729,611,10961,4090652,3393979,280,22166,7333505,0,60.0,1761,637,35790,7401340,112
Andaman & Nicobar Islands,Total,1,166210,151111,4,320913,0,599,105607,95023,2,597,206586,0,63.0,84,0,1839,199721,0
Telangana,SC,3,2557171,2630648,528,5098662,330,3582,1782878,1757867,137,40596,3554836,0,71.0,1656,3556,18941,3594957,9
Maharashtra,GEN,40,38830994,36486852,5024,74855118,4790,97745,24319800,20863025,1255,198420,46701792,17,61.0,24810,33767,327970,46272998,3780
Tamil Nadu,Total,40,30544621,31882747,8411,62510734,3379,71734,21509345,21764950,2675,310714,43204401,0,71.0,45917,50094,461881,43996715,338
Andhra Pradesh,Total,25,20226836,20693608,3481,41534521,8032,69330,16329734,17035444,1487,500977,33554252,197,83.0,39565,90314,394640,33079603,251
Arunachal Pradesh,Total,2,445306,446351,5,901467,0,5635,325464,360231,2,36902,715541,0,82.0,4015,1182,7221,716185,314
Gujarat,GEN,19,18901858,17979577,1290,36100902,785,23645,11916830,9802077,388,245355,21899411,2,59.0,25145,9905,319802,21658123,97
Chhattisgarh,GEN,6,5792649,5844391,557,11802021,12,7645,4189609,4166008,130,21093,8531391,0,73.0,2409,12229,31824,8495512,142
Goa,Total,2,578232,601181,12,1194424,82,305,429017,463383,9,10982,916240,0,76.0,874,0,11304,907012,22
Jharkhand,ST,5,3767001,3835541,57,7585776,7,14282,2521112,2763905,18,58029,5378635,0,72.0,3756,9712,80756,5281206,3
Ladakh,Total,1,97862,91193,0,186887,0,5656,65749,68287,0,3073,136758,0,72.0,140,0,907,137298,0
Arunachal Pradesh,Total,2,450153,457177,5,901178,0,5835,326092,362380,2,37927,732616,0,81.0,3947,1164,7227,723170,308
Madhya Pradesh,ST,6,5975414,6024622,195,11819990,4,7219,4473502,4125342,105,23704,8489517,0,73.0,4100,418,124320,8617940,41
Punjab,GEN,9,7908433,7206286,564,14947398,1287,76298,5160025,4463867,198,48189,9443658,8,63.0,8174,2463,42676,9500538,31
West Bengal,SC,10,9296713,8955716,389,18604655,9,30538,7819859,7570636,134,77171,15296741,0,81.0,13390,7301,137685,14974542,50
Arunachal Pradesh,Total,2,451430,450213,5,884996,0,5766,323751,362232,2,37890,724789,0,80.0,4042,1155,7227,727954,304
NCT OF Delhi,SC,1,1393461,1162016,265,2598219,27,1873,795845,670423,64,4884,1517473,0,57.0,333,2765,9084,1458070,17
Grand Total,Grand Total,545,505969148,482718102,48186,962344796,118943,1938661,329472875,308780089,13069,4361248,649851967,2918,67.0,538976,528841,6493940,643688019,9816
Arunachal Pradesh,Total,2,448210,461555,5,885765,0,5662,336429,361356,2,37822,738732,0,81.0,3909,1175,7098,726773,305
Rajasthan,Total,25,27729499,25384867,637,53393383,291,143175,17424844,15610328,337,376792,33818647,0,61.0,42632,3539,275725,33146956,685
Uttarakhand,GEN,4,3661894,3430223,297,7041715,44,65355,2110081,2041554,85,69239,4144704,0,59.0,14582,6268,36154,4198103,23
Bihar,Total,39,40461461,36652305,2253,76212867,91,167764,21466801,22279763,143,164350,42957700,0,56.0,22766,9130,891060,43364323,1
Goa,Total,2,565362,595816,12,1175932,84,301,430749,474743,9,11364,914949,0,76.0,893,0,11078,913542,22
Jharkhand,SC,1,1168653,1077408,1,2275168,0,4999,682350,691531,1,17954,1388555,0,63.0,1306,0,24309,1376594,0
Karnataka,ST,2,1908264,1996377,578,3850806,35,781,1336542,1312177,111,8557,2650323,0,68.0,1128,4164,17958,2714822,1
Maharashtra,ST,4,3824320,3752671,278,7566593,229,7218,2736743,2437188,67,16881,5202107,0,68.0,1926,2665,61607,5124361,181
Telangana,ST,2,1532051,1598045,189,3207049,102,3729,1136806,1170526,83,25461,2388331,0,75.0,1392,2125,18263,2342243,7
Dadra & Nagar Haveli and Daman & Diu,Total,2,219751,201431,0,424903,65,23,151134,147386,0,533,302325,0,72.0,74,0,6096,293571,3
Ladakh,Total,1,98735,91052,0,191859,0,5816,64283,66175,0,3072,134255,0,71.0,136,0,907,137222,0
Arunachal Pradesh,Total,2,448597,449357,5,883189,0,5806,323831,363384,2,37052,725611,0,82.0,3972,1167,7295,704372,311
West Bengal,Total,42,38105588,37382223,1807,75844527,219,115783,29683208,30576998,579,296939,60538551,0,78.0,43963,26665,520918,60647367,261
Chhattisgarh,SC,1,1026055,1027431,27,2092193,0,2235,708493,706412,16,5999,1400687,0,67.0,855,1844,5121,1405826,23
Himachal Pradesh,GEN,3,2227334,2127481,23,4322283,23,58658,1472922,1594802,19,69707,3165390,0,72.0,8806,1163,17273,3077510,25
Bihar,Total,40,40053464,36686519,2176,78581957,87,170573,21340082,21838794,143,158758,43785116,0,55.0,22648,8980,911453,41828104,1
Tamil Nadu,GEN,32,25254016,26232543,6948,51604618,3055,63810,17168403,17919977,2264,255040,35089844,0,68.0,37274,25425,370186,34913746,256
Manipur,ST,1,508427,525603,35,1048216,0,11985,393135,399969,10,5988,810091,0,75.0,568,2387,7147,799529,0
Gujarat,Total,25,24634875,23208126,1447,47996041,868,27206,15742350,13259603,449,303553,28865519,2,62.0,30705,15185,469294,29097781,116
Odisha,SC,3,2559220,2403967,388,4977255,24,8782,1895980,1883866,73,24166,3786445,0,76.0,2686,9042,16915,3718724,24
Jharkhand,Total,14,12986152,12585523,424,25680970,127,44827,8331885,8812697,160,180477,17594696,0,67.0,11885,25755,192456,16722546,10
Rajasthan,SC,4,4446550,3872625,132,8237392,14,19150,2538280,2074170,77,55033,4598805,0,55.0,7227,606,38651,4705309,57
Mizoram,Total,1,416544,447552,0,846730,0,4872,243140,244238,0,4700,498121,0,57.0,193,297,1865,479979,0
Rajasthan,ST,3,3211043,3085108,45,6247569,74,4606,2139473,2030241,17,38326,4126751,0,66.0,2619,0,49158,4101696,89
Himachal Pradesh,SC,1,700594,651914,12,1363591,11,8315,494261,454257,8,11914,961475,0,72.0,862,490,5848,951440,8
Haryana,Total,10,10785480,9536826,474,20479221,751,110898,6930046,5968725,85,66400,13081806,37,66.0,14605,5530,43752,13049098,116
Assam,SC,1,682573,688283,24,1394514,0,4972,549900,539079,6,8224,1111753,0,81.0,1492,0,12852,1064026,0
Jharkhand,ST,5,3743670,3768699,58,7591508,7,14544,2583596,2662898,18,57967,5422822,0,72.0,3759,9949,80665,5129240,3
Tamil Nadu,SC,7,5571151,5778752,1408,11381739,325,7647,3955927,4101100,428,52709,8187897,0,71.0,8288,23926,91299,7882559,80
Andhra Pradesh,GEN,20,16172331,16962316,2956,33931183,6770,56594,13442099,13517771,1363,415264,26878404,196,83.0,33251,73964,301101,26775620,171
Andaman & Nicobar Islands,GEN,1,162206,153995,4,320263,0,595,107659,97611,2,613,203165,0,63.0,83,0,1798,198015,0
Meghalaya,Total,2,1084004,1111095,3,2206782,5,3835,830183,886133,3,9149,1729469,0,76.0,1242,1842,17112,1719468,18
Rajasthan,SC,4,4384253,3811492,131,8199069,14,19221,2518703,2106411,77,56934,4641223,0,57.0,7236,597,38449,4639438,55
Goa,Total,2,565642,599732,12,1183539,83,299,424991,462499,9,11342,914044,0,77.0,870,0,10966,896496,22
Karnataka,SC,5,4779405,4625249,932,9379848,26,4542,3398105,3271364,201,28547,6812731,0,72.0,3758,1108,32565,6791390,25
